source_scraper,website,city,operation,product,listing_url,collected_at,raw_nombre,raw_descripcion,raw_ubicacion,raw_precio,raw_tipo,raw_habitaciones,raw_banos,raw_metros_cuadrados,raw_estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-f7683e85805d-24fb-1941441-bd3a-7599,2025-09-17T19:22:39.279236,Casa en Venta en Mezquitan,"Excelente oportunidad de inversión: ubicada en la esquina de 6 de Diciembre y Mar Rojo, en la colonia Mezquitán, Guadalajara, esta propiedad destaca por su terreno amplio de 316 m² y su inmejorable ubicación. Su condición en esquina la hace ideal para proyectos de desarrollo residencial o comercial, maximizando la visibilidad y accesibilidad.

Características principales del terreno:

• 316 m² de superficie.
• Ubicación privilegiada en esquina, perfecta para proyectos arquitectónicos innovadores.
• Potencial para desarrollar un edificio de departamentos, locales comerciales o una combinación de ambos.

Ventajas de la ubicación:

• Cercanía a avenidas principales como Federalismo y Av. Circunvalación, lo que garantiza fácil conexión con el resto de la ciudad.
• Rodeada de servicios esenciales como escuelas, mercados, hospitales y transporte público, incluyendo estaciones de tren ligero.
• Zona en constante crecimiento y transformación, ideal para quienes buscan capitalizar la alta demanda de inmuebles en Guadalajara.

Con un terreno de estas dimensiones en una ubicación estratégica, esta propiedad es una oportunidad única para desarrolladores que buscan maximizar su inversión en una de las zonas con mayor proyección de la ciudad.

¡Contáctanos para más información y para explorar el potencial de esta propiedad!","Mezquitan, Guadalajara, Jalisco","$ 5,200,000 MXN",venta,5,3,235 m²,Jardín
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-8512fa14a0a9-c1e1-195a729-8ae4-715f,2025-09-17T19:22:39.279236,Quinta / Hacienda en Venta en Unidad Modelo,"""Esta impresionante finca, con 817.22 m² de superficie, se encuentra estratégicamente ubicada en una de las zonas de mayor actividad del municipio de Guadalajara. Anteriormente utilizada como salón para eventos, la propiedad combina amplitud y versatilidad, ofreciendo un espacio ideal para adaptarse a cualquier tipo de negocio. Su entorno dinámico y concurrido garantiza una excelente exposición y un flujo constante de visitantes. Es una oportunidad única para emprender o expandir un proyecto en una ubicación privilegiada.

No pierdas esta gran oportunidad y contacta con nosotros y agenda tu cita!","Unidad Modelo, Guadalajara, Jalisco","$ 8,449,262 MXN",venta,,8,387 m²,5 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-2d74ea4887bc-7e00-199408c-8a27-70ae,2025-09-17T19:22:39.279236,Casa en Venta en Providencia 4a Secc,"CASA EN OPORTUNIDAD – LOMAS DE PROVIDENCIA

Ubicación privilegiada en Lomas de Providencia
Excelente opción tanto para vivienda familiar como para uso comercial (oficinas, consultorios, coworking) o incluso para desarrollar una torre de departamentos o consultorios gracias a su amplitud y distribución.

Distribución:

Planta Baja:
Cocina amplia
Estudio
Sala amplia
Comedor espacioso
½ baño
Patio trasero

Segundo Nivel:
Sala de TV amplia
1 recámara secundaria con baño completo
2 recámaras secundarias
1 baño completo
Recámara principal con baño completo y vestidor

Tercer Nivel:
Cuarto de servicio
Recámara de servicio con baño completo
Terraza con vista abierta

Estacionamiento y Extras:
Espacio para 4 vehículos
Cuarto de bodega amplia con escalera independiente, que conecta desde estacionamiento hasta todos los niveles de la casa y el roof top.

Beneficios destacados:

Ubicación estratégica en zona de alta plusvalía.

Ideal para familias grandes o para transformar en espacios de oficinas o consultorios.

Oportunidad para inversionistas: posibilidad de desarrollo vertical (departamentos o torre de consultorios).

Libre de gravamen.","Providencia 4a Secc, Guadalajara, Jalisco","$ 13,900,000 MXN",venta,5,4,561 m²,4 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-2bc52c1903c1-730d-19863a4-b83b-72d1,2025-09-17T19:22:39.279236,Casa en Venta en Bosques de La Victoria,"PLANTA BAJA
recibidor
1 recamara
1/2 baño
sala comedor 
cocina integral
jardin y 1/2 baño

PLANTA ALTA
recibidor
cuarto de juegos u opcion otra recamara
1 recamara con su baño vestidor
1 recamara con su baño vestidor
1 baño completo
1 cuarto de servicio","Bosques de La Victoria, Guadalajara, Jalisco","$ 9,800,000 MXN",venta,4,3,283 m²,2 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-f9654ed4113d-efd0-19834c0-a0d3-74f1,2025-09-17T19:22:39.279236,Casa en Venta en Monraz,"¡Encontraste tu nuevo HOGAR!
Ubicada en Toltecas #3521, RINCONADA SANTA RITA, Guadalajara, CP 44670. Está a solo 2 Cuadras del Hospital Angeles del Carmen y Plaza Mexico.

436 m2 Terreno
277 m2 Construcción

Cuenta con:
- 3 Recámaras con Closet Vestidor todas
- 3.5 Baños
- Estudio en PB 
- Sala TV 
- Cochera 6 autos
- Tinaco
- Cisterna 5000 lts
- Esquina 
- Piso y baños de mármol
- Carpintería de Caoba
- Jardin de 90 m2

Libre de gravamen y con único dueño.

AGENDA YA TU CITA!
SIN DUDA, ES UNA EXCELENTE OPCIÓN PARA VIVIR Y/O INVERTIR EN TU PATRIMONIO!! Ya que se encuentra en una de las Zonas con Mayor Crecimiento y Plusvalía!
¿Requieres Información Adicional? Contáctanos hoy para agendarte una cita !!... TE ACOMPAÑAMOS EN ESTE VIAJE DE PRINCIPIO A FIN !!","Monraz, Guadalajara, Jalisco","$ 13,490,000 MXN",venta,3,3,277 m²,6 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-47799fe701d0-4dc2-197fec6-8afd-7424,2025-09-17T19:22:39.279236,Casa en Venta en Providencia 1a Secc,"CASA REMODELADA , SALA , COMEDOR, COCINA INTEGRAL CON GRANITO , MUY COMPLETA ESPACIO LAVADORAS , DESPENSA GRANDE, MEDIO BAÑO , 3 RECÁMARAS 2 COMPARTEN BAÑO CON JACUZZI , TERCERA CON BAÑO COMPLETO Y CLÓSET , CLÓSET DE BLANCOS , COCHERA PORTÓN ELÉCTRICO 2 AUTOS CON OPCIÓN A 3, TERRAZA , ALBERCA CLIMATIZADA , PLANTA ALTA , 3 RECÁMARAS LA PRINCIPAL AMPLIA CON JACUZZI , 2 RECÁMARAS CON BAÑO COMPLETO , ÁREA DE ROOF GARDEN AGRADABLE Y AMPLIO , CERCA ELÉCTRICA , PROTECCIONES , HIDRONEUMATICO, TANQUE ESTACIONARIO , BOILER, ALJIBER, LISTA PARA ESCRITURAR !!","Providencia 1a Secc, Guadalajara, Jalisco","$ 12,000,000 MXN",venta,6,5,250 m²,3 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-5bcac157da0-6788-19818d0-8d3e-7c61,2025-09-17T19:22:39.279236,Casa en Venta en Esperanza,"Casa en venta en La Federacha, Guadalajara – Espacios amplios, iluminación y diseño funcional. Descubre esta hermosa residencia ubicada en una zona tranquila y con excelente conectividad en Guadalajara. Con una distribución inteligente y generosos espacios, excelente iluminación esta propiedad es ideal para quienes buscan comodidad, ubicación y funcionalidad. Planta baja:
*Entrada con doble altura que brinda amplitud y luminosidad
* Cocina integral con excelente ventilación
* Espaciosa sala y comedor
* Recámara en planta baja, ideal para visitas o personas mayores
* Baño completo
* Bodega para almacenamiento
* Gran jardín trasero, ideal para reuniones, mascotas o área de juegos
Planta alta:
* Recámara principal con baño privado y balcón
* Dos recámaras secundarias con closets con balcón con vista al jardín
*Sala de TV para compartir en familia
Terreno: 247 m²
Construcción: 294 m²
Esta propiedad es una excelente opción para familias que valoran la amplitud, una buena distribución y una ubicación privilegiada. ¡Agenda tu visita!","Esperanza, Guadalajara, Jalisco","$ 5,500,000 MXN",venta,4,3,294 m²,1 Estacionamiento
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-95b794c4861b-d432-19782ce-89b5-7159,2025-09-17T19:22:39.279236,Casa en Venta en Heliodoro Hernandez Loza 1a Secc,"CASA HABITACIÓN EN VENTA EN: Genaro Vega Salazar No. 2518 Col. Heliodoro Hernández Loza, Guadalajara, Jal.

PRECIO: $ 3´450,000.00 PESOS

SUPERFICIE DE TERRENO: 120.0 M2 APROX.
(20.00 X 6.00) M2.

SUPERFICIE DE CONSTRUCCIÓN: 230.00 M2

PLANTA BAJA:
- Cochera techada para 2 autos.
- Sala.
- Comedor.
- Medio baño.
- Cocina integral.
- Patio de servicio techado.
- Bodega o cuarto.
- Regadera.
- Escaleras.

PLANTA ALTA:
- Distribuidor.
- 4 Recámaras y 3 con closet.
- 1 Baño completo.
- Balcón.
- Escaleras para tercer nivel.

TERCER NIVEL:
- Terraza.
- Cuarto de servicio con tejaban.","Heliodoro Hernandez Loza 1a Secc, Guadalajara, Jalisco","$ 3,450,000 MXN",venta,4,1,230 m²,2 Estacionamientos
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-2087aa6583e2-b20f-19782b5-b7aa-7d0f,2025-09-17T19:22:39.279236,Casa en Venta en San Miguel de Huentitán El Alto 1a Secc,"CASA HABITACIÓN EN VENTA
Av. Artesanos No. 3672 Col. San Miguel de Huentitan, Guadalajara, Jal.

PRECIO: $ 3´450,000.00 PESOS

SUPERFICIE DE TERRENO: 114.00 M2 Aprox.
(4.5 x 25.00) M2.

SUPERFICIE DE CONSTRUCCIÓN: 243.00

PLANTA BAJA:
- Local comercial con medio baño.
- Pasillo.
- Sala de estar.
- Patio.
- 1 Recámara.
- 1 Baño completo.
- Vestidor.
- Escaleras.

PLANTA ALTA:
- 3 Recámaras con closet.
- 1 Baño completo.
- Sala.
- Comedor.
- Cocina.

TERCER NIVEL:
Área de lavado.","San Miguel de Huentitán El Alto 1a Secc, Guadalajara, Jalisco","$ 3,450,000 MXN",venta,4,2,243 m²,
lam,Casas_y_terrenos,Guadalajara,Venta,Casas,https://www.lamudi.com.mx/detalle/41032-73-7b25e590b280-9523-e14d33f9-ae66-4ff8,2025-09-17T19:22:39.279236,Casa en Venta en Americana,"Casa estilo francés en la colonia Americana
En esquina, 1746 metros cuadrados , ideal para desarrollo vertical , restaurante, hotel, oficinas, notaria, bancos, salón de eventos, escuela, etc.
cuenta con mas de 12 estacionamientos.
Frente 40 metros
Fondo 47 metros","Americana, Guadalajara, Jalisco","$ 95,000,000 MXN",venta,,,"1,269 m²",20 Estacionamientos
